No.;Time;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter;;;
297;3,464936;;3,464936;3,465909;0,000973;;-0,001564;0,00171;0,003274;;;
298;3,465909;;3,465909;3,468446;0,002537;;0,00171;-0,001665;-0,003375;;;
299;3,468446;;3,468446;3,469273;0,000827;;-0,001665;0,000289;0,001954;;;
300;3,469273;;3,469273;3,471765;0,002492;;0,000289;0,001242;0,000953;;;
301;3,471765;;3,471765;3,473968;0,002203;;0,001242;-0,001429;-0,002671;;;
302;3,473968;;3,473968;3,474929;0,000961;;-0,001429;-0,001332;9,70E-05;;;
303;3,474929;;3,474929;3,477319;0,00239;;-0,001332;0,003306;0,004638;;;
304;3,477319;;3,477319;3,481041;0,003722;;0,003306;-4,90E-05;-0,003355;;;
305;3,481041;;3,481041;3,481457;0,000416;;-4,90E-05;-0,001971;-0,001922;;;
306;3,481457;;3,481457;3,481922;0,000465;;-0,001971;-0,00037;0,001601;;;
307;3,481922;;3,481922;3,484358;0,002436;;-0,00037;0,001784;0,002154;;;
308;3,484358;;3,484358;3,487164;0,002806;;0,001784;0,001022;-0,000762;;;
309;3,487164;;3,487164;3,488186;0,001022;;0,001022;-0,001061;-0,002083;;;
310;3,488186;;3,488186;3,488186;0;;-0,001061;0,000802;0,001863;;;
311;3,488186;;3,488186;3,489247;0,001061;;0,000802;-0,001261;-0,002063;;;
312;3,489247;;3,489247;3,489506;0,000259;;-0,001261;0,001243;0,002504;;;
313;3,489506;;3,489506;3,491026;0,00152;;0,001243;-0,007201;-0,008444;;;
314;3,491026;;3,491026;3,491303;0,000277;;-0,007201;0,001809;0,00901;;;
315;3,491303;;3,491303;3,498781;0,007478;;0,001809;0,005669;0,00386;;;
316;3,498781;;3,498781;3,50445;0,005669;;0,005669;-0,000244;-0,005913;;;
317;3,50445;;3,50445;3,50445;0;;-0,000244;0,000244;0,000488;;;
318;3,50445;;3,50445;3,504694;0,000244;;0,000244;-0,000105;-0,000349;;;
319;3,504694;;3,504694;3,504694;0;;-0,000105;-0,000329;-0,000224;;;
320;3,504694;;3,504694;3,504799;0,000105;;-0,000329;-0,000574;-0,000245;;;
321;3,504799;;3,504799;3,505233;0,000434;;-0,000574;0,001008;0,001582;;;
322;3,505233;;3,505233;3,506241;0,001008;;0,001008;-0,00079;-0,001798;;;
323;3,506241;;3,506241;3,506241;0;;-0,00079;-0,000246;0,000544;;;
324;3,506241;;3,506241;3,507031;0,00079;;-0,000246;0,000794;0,00104;;;
325;3,507031;;3,507031;3,508067;0,001036;;0,000794;-0,00358;-0,004374;;;
326;3,508067;;3,508067;3,508309;0,000242;;-0,00358;0,002117;0,005697;;;
327;3,508309;;3,508309;3,512131;0,003822;;0,002117;0,001114;-0,001003;;;
328;3,512131;;3,512131;3,513836;0,001705;;0,001114;-0,000829;-0,001943;;;
329;3,513836;;3,513836;3,514427;0,000591;;-0,000829;-0,002485;-0,001656;;;
330;3,514427;;3,514427;3,515847;0,00142;;-0,002485;0,002285;0,00477;;;
331;3,515847;;3,515847;3,519752;0,003905;;0,002285;-0,000764;-0,003049;;;
332;3,519752;;3,519752;3,521372;0,00162;;-0,000764;0,001574;0,002338;;;
333;3,521372;;3,521372;3,523756;0,002384;;0,001574;-0,003396;-0,00497;;;
334;3,523756;;3,523756;3,524566;0,00081;;-0,003396;0,003238;0,006634;;;
335;3,524566;;3,524566;3,528772;0,004206;;0,003238;0,000968;-0,00227;;;
336;3,528772;;3,528772;3,52974;0,000968;;0,000968;-0,000965;-0,001933;;;
337;3,52974;;3,52974;3,52974;0;;-0,000965;0,000657;0,001622;;;
338;3,52974;;3,52974;3,530705;0,000965;;0,000657;-0,001672;-0,002329;;;
339;3,530705;;3,530705;3,531013;0,000308;;-0,001672;0,000103;0,001775;;;
340;3,531013;;3,531013;3,532993;0,00198;;0,000103;-0,000734;-0,000837;;;
341;3,532993;;3,532993;3,53487;0,001877;;-0,000734;0,002246;0,00298;;;
